MC_Bin      Toa         TimeEnd            Mag     PW    Freq     Fmin     Fmax    Fmop   Phase01  CW   PhaseSegs  Thres FileSeek
5        37376.00     44032.00      84.7 6656.00  115.23  115.23  115.23 0  -29.42 0 12    69.5      18688 
5       107520.00    114176.00      84.7 6656.00  115.23  115.23  115.23 0   35.33 0 12    66.5      53760 
2       157184.00    158208.00      65.4 1024.00  121.09  121.09  121.09 0  107.83 0 1    65.0      78592 
5       177664.00    184320.00      84.7 6656.00  115.23  115.23  115.23 0  -29.89 0 12    69.9      88832 
5       247808.00    254464.00      84.7 6656.00  115.23  115.23  115.23 0   24.22 0 12    70.3     123904 
5       317952.00    324608.00      84.9 6656.00  115.23  115.23  115.23 0   -7.98 0 12    67.3     158976 
5       388096.00    394752.00      84.8 6656.00  115.23  115.23  115.23 0   20.77 0 12    68.1     194048 
5       458240.00    464896.00      84.7 6656.00  115.23  115.23  115.23 0  -36.22 0 12    67.5     229120 
5       528384.00    535040.00      84.7 6656.00  115.23  115.23  115.23 0   25.80 0 12    70.0     264192 
5       598528.00    605184.00      84.6 6656.00  115.23  115.23  115.23 0  -29.96 0 12    68.6     299264 
5       668672.00    675840.00      83.2 7168.00  115.23  115.23  115.23 0   27.32 0 13    66.9     334336 
5       738816.00    745472.00      84.8 6656.00  115.23  115.23  115.23 0  -29.70 0 12    68.6     369408 
5       808960.00    815616.00      84.6 6656.00  115.23  115.23  115.23 0   26.44 0 12    67.6     404480 
6       850944.00    851968.00      67.4 1024.00  113.28  113.28  113.28 0 -107.67 0 1    65.4     425472 
5       879104.00    885760.00      84.6 6656.00  115.23  115.23  115.23 0  -34.28 0 12    69.7     439552 
5       949248.00    955904.00      84.6 6656.00  115.23  115.23  115.23 0   29.33 0 12    67.7     474624 
5      1019392.00   1026048.00      84.7 6656.00  115.23  115.23  115.23 0  -29.53 0 12    68.2     509696 
5      1089536.00   1096192.00      84.9 6656.00  115.23  115.23  115.23 0    7.00 0 12    71.6     544768 
5      1159680.00   1166336.00      84.8 6656.00  115.23  115.23  115.23 0  -21.93 0 12    68.3     579840 
5      1229824.00   1236480.00      84.7 6656.00  115.23  115.23  115.23 0    8.11 0 12    66.2     614912 
6      1307136.00   1308160.00      62.0 1024.00  113.28  113.28  115.23 1    5.26 0 2    59.9     653568 
21      1313792.00   1315840.00      63.1 2048.00   83.98   83.98   83.98 0 -117.89 0 1    62.1     656896 
5      1370112.00   1376768.00      84.7 6656.00  115.23  115.23  115.23 0   31.84 0 12    68.1     685056 
5      1440256.00   1446912.00      84.8 6656.00  115.23  115.23  115.23 0  -30.76 0 12    70.0     720128 
5      1510400.00   1517056.00      84.8 6656.00  115.23  115.23  115.23 0   31.26 0 12    67.3     755200 
5      1580544.00   1587200.00      84.7 6656.00  115.23  115.23  115.23 0  -26.55 0 12    65.9     790272 
5      1650176.00   1657344.00      84.5 7168.00  115.23  115.23  115.23 0    9.84 0 13    67.0     825088 
5      1720832.00   1727488.00      84.4 6656.00  115.23  115.23  115.23 0  -18.52 0 12    68.9     860416 
5      1790976.00   1797632.00      84.8 6656.00  115.23  115.23  115.23 0   13.68 0 12    66.4     895488 
5      1861120.00   1867776.00      84.7 6656.00  115.23  115.23  115.23 0  -18.12 0 12    69.3     930560 
5      1931264.00   1937920.00      84.7 6656.00  115.23  115.23  115.23 0   15.50 0 12    67.3     965632 
5      2001408.00   2008064.00      84.6 6656.00  115.23  115.23  115.23 0  -16.91 0 12    69.9    1000704 
5      2071552.00   2078208.00      84.4 6656.00  115.23  115.23  115.23 0    8.59 0 12    69.0    1035776 
5      2141696.00   2148352.00      84.4 6656.00  115.23  115.23  115.23 0  -24.29 0 12    68.6    1070848 
5      2211840.00   2218496.00      84.6 6656.00  115.23  115.23  115.23 0    7.25 0 12    67.7    1105920 
5      2281984.00   2288640.00      84.3 6656.00  115.23  115.23  115.23 0  -15.94 0 12    64.0    1140992 
6      2352128.00   2358784.00      79.2 6656.00  113.28  113.28  115.23 1   62.53 0 1    70.2    1176064 
12      2373632.00   2374656.00      65.6 1024.00  101.56  101.56  101.56 0 -179.47 0 1    64.0    1186816 
6      2422272.00   2428928.00      76.3 6656.00  113.28  113.28  115.23 1 -107.78 0 1    64.9    1211136 
6      2492416.00   2499072.00      80.4 6656.00  113.28  113.28  115.23 1   60.68 0 1    69.0    1246208 
16      2508800.00   2509824.00      64.5 1024.00   93.75   93.75   93.75 0 -135.27 0 1    64.4    1254400 
25      2519040.00   2521600.00      62.3 2560.00   76.17   76.17   76.17 0  -14.57 0 6    54.6    1259520 
5      2562560.00   2569216.00      84.2 6656.00  115.23  115.23  115.23 0   -3.41 0 12    70.0    1281280 
5      2632704.00   2639360.00      84.0 6656.00  115.23  115.23  115.23 0   17.83 0 12    71.2    1316352 
14      2682880.00   2683904.00      68.6 1024.00   97.66   97.66   97.66 0  -23.62 0 1    60.7    1341440 
5      2702848.00   2709504.00      83.9 6656.00  115.23  115.23  115.23 0  -16.96 0 12    69.0    1351424 
6      2772480.00   2779648.00      77.3 7168.00  113.28  113.28  115.23 1   65.90 0 1    69.2    1386240 
6      2843136.00   2849792.00      74.5 6656.00  113.28  113.28  115.23 1 -108.31 0 1    68.0    1421568 
6      2912768.00   2919936.00      73.2 7168.00  113.28  113.28  115.23 1   98.57 0 1    66.8    1456384 
5      2982912.00   2990080.00      83.6 7168.00  115.23  115.23  115.23 0  -30.42 0 13    68.5    1491456 
5      3053056.00   3060224.00      83.9 7168.00  115.23  115.23  115.23 0    9.83 0 13    67.1    1526528 
6      3123200.00   3130368.00      67.9 7168.00  113.28  113.28  115.23 1  -91.53 0 1    67.4    1561600 
5      3193344.00   3200000.00      84.9 6656.00  115.23  115.23  115.23 0   27.76 0 12    71.7    1596672 
5      3263488.00   3270144.00      84.5 6656.00  115.23  115.23  115.23 0  -29.19 0 12    68.5    1631744 
5      3333632.00   3340800.00      83.6 7168.00  115.23  115.23  115.23 0   21.41 0 13    67.3    1666816 
5      3403776.00   3410432.00      84.7 6656.00  115.23  115.23  115.23 0  -22.48 0 12    70.9    1701888 
5      3473920.00   3480576.00      84.8 6656.00  115.23  115.23  115.23 0   33.28 0 12    67.7    1736960 
5      3544064.00   3550720.00      84.6 6656.00  115.23  115.23  115.23 0  -30.01 0 12    71.3    1772032 
5      3614208.00   3620864.00      84.7 6656.00  115.23  115.23  115.23 0   29.93 0 12    69.9    1807104 
5      3684352.00   3691008.00      85.0 6656.00  115.23  115.23  115.23 0  -27.33 0 12    67.0    1842176 
5      3754496.00   3761152.00      84.8 6656.00  115.23  115.23  115.23 0   34.15 0 12    66.0    1877248 
5      3824640.00   3831296.00      84.7 6656.00  115.23  115.23  115.23 0  -26.36 0 12    69.9    1912320 
5      3894784.00   3901952.00      83.6 7168.00  115.23  115.23  115.23 0   25.84 0 13    68.0    1947392 
5      3964928.00   3971584.00      84.6 6656.00  115.23  115.23  115.23 0  -24.70 0 12    71.0    1982464 
5      4035072.00   4041728.00      84.8 6656.00  115.23  115.23  115.23 0   33.03 0 12    70.5    2017536 
5      4105216.00   4111872.00      84.7 6656.00  115.23  115.23  115.23 0  -29.77 0 12    69.0    2052608 
5      4175360.00   4182016.00      84.5 6656.00  115.23  115.23  115.23 0   29.60 0 12    69.2    2087680 
16      4216832.00   4217856.00      64.0 1024.00   93.75   93.75   93.75 0  -83.44 0 2    63.3    2108416 
5      4245504.00   4252160.00      84.9 6656.00  115.23  115.23  115.23 0  -29.93 0 12    70.4    2122752 
5      4315648.00   4322304.00      84.9 6656.00  115.23  115.23  115.23 0   29.41 0 12    67.8    2157824 
23      4333568.00   4335104.00      66.1 1536.00   80.08   80.08   80.08 0   62.39 0 2    65.4    2166784 
5      4385792.00   4392448.00      84.7 6656.00  115.23  115.23  115.23 0  -30.58 0 12    68.9    2192896 
11      4428800.00   4429824.00      62.7 1024.00  103.52  103.52  103.52 0  169.32 0 1    62.3    2214400 
16      4446208.00   4447232.00      68.3 1024.00   93.75   93.75   93.75 0  -48.87 0 1    63.6    2223104 
5      4455936.00   4462592.00      84.7 6656.00  115.23  115.23  115.23 0   33.70 0 12    68.0    2227968 
